id,title,abstract,categories,authors,keywords,topic
704.0011,"Computing genus 2 Hilbert-Siegel modular forms over $\Q(\sqrt{5})$ via
  the Jacquet-Langlands correspondence","  In this paper we present an algorithm for computing Hecke eigensystems of
Hilbert-Siegel cusp forms over real quadratic fields of narrow class number
one. We give some illustrative examples using the quadratic field
$\Q(\sqrt{5})$. In those examples, we identify Hilbert-Siegel eigenforms that
are possible lifts from Hilbert eigenforms.
",math.NT; math.AG,Clifton Cunningham and Lassina Dembele,hilbert; examples; identify; forms; algorithm,8
704.0012,"Distribution of integral Fourier Coefficients of a Modular Form of Half
  Integral Weight Modulo Primes","  Recently, Bruinier and Ono classified cusp forms $f(z) := \sum_{n=0}^{\infty}
a_f(n)q ^n \in S_{\lambda+1/2}(\Gamma_0(N),\chi)\cap \mathbb{Z}[[q]]$ that does
not satisfy a certain distribution property for modulo odd primes $p$. In this
paper, using Rankin-Cohen Bracket, we extend this result to modular forms of
half integral weight for primes $p \geq 5$. As applications of our main theorem
we derive distribution properties, for modulo primes $p\geq5$, of traces of
singular moduli and Hurwitz class number. We also study an analogue of Newman's
conjecture for overpartitions.
",math.NT,Dohoon Choi,forms; distribution; mathbb; infty; moduli,4
704.0013,"$p$-adic Limit of Weakly Holomorphic Modular Forms of Half Integral
  Weight","  Serre obtained the p-adic limit of the integral Fourier coefficient of
modular forms on $SL_2(\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend
the result of Serre to weakly holomorphic modular forms of half integral weight
on $\Gamma_{0}(4N)$ for $N=1,2,4$. A proof is based on linear relations among
Fourier coefficients of modular forms of half integral weight. As applications
we obtain congruences of Borcherds exponents, congruences of quotient of
Eisentein series and congruences of values of $L$-functions at a certain point
are also studied. Furthermore, the congruences of the Fourier coefficients of
Siegel modular forms on Maass Space are obtained using Ikeda lifting.
",math.NT,Dohoon Choi and YoungJu Choie,forms; integral; half; coefficients; obtained,4
704.0014,Iterated integral and the loop product,"  In this article we discuss a relation between the string topology and
differential forms based on the theory of Chen's iterated integrals and the
cyclic bar complex.
",math.CA; math.AT,Koichi Fujii,topology; bar; article; forms; string,5
704.0015,Fermionic superstring loop amplitudes in the pure spinor formalism,"  The pure spinor formulation of the ten-dimensional superstring leads to
manifestly supersymmetric loop amplitudes, expressed as integrals in pure
spinor superspace. This paper explores different methods to evaluate these
integrals and then uses them to calculate the kinematic factors of the one-loop
and two-loop massless four-point amplitudes involving two and four Ramond
states.
",hep-th,Christian Stahn,loop; amplitudes; pure; formulation; factors,5
704.0016,Lifetime of doubly charmed baryons,"  In this work, we evaluate the lifetimes of the doubly charmed baryons
$\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$ and $\Omega_{cc}^{+}$. We carefully calculate
the non-spectator contributions at the quark level where the Cabibbo-suppressed
diagrams are also included. The hadronic matrix elements are evaluated in the
simple non-relativistic harmonic oscillator model. Our numerical results are
generally consistent with that obtained by other authors who used the diquark
model. However, all the theoretical predictions on the lifetimes are one order
larger than the upper limit set by the recent SELEX measurement. This
discrepancy would be clarified by the future experiment, if more accurate
experiment still confirms the value of the SELEX collaboration, there must be
some unknown mechanism to be explored.
",hep-ph,Chao-Hsi Chang; Tong Li; Xue-Qian Li and Yu-Ming Wang,experiment; non; harmonic; accurate; generally,6
704.0017,"Spectroscopic Observations of the Intermediate Polar EX Hydrae in
  Quiescence","  Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya
in quiescence during 1991 and 2001 are presented. Spin-modulated radial
velocities consistent with an outer disc origin were detected for the first
time in an IP. The spin pulsation was modulated with velocities near ~500-600
km/s. These velocities are consistent with those of material circulating at the
outer edge of the accretion disc, suggesting corotation of the accretion
curtain with material near the Roche lobe radius. Furthermore, spin Doppler
tomograms have revealed evidence of the accretion curtain emission extending
from velocities of ~500 km/s to ~1000 km/s. These findings have confirmed the
theoretical model predictions of King & Wynn (1999), Belle et al. (2002) and
Norton et al. (2004) for EX Hya, which predict large accretion curtains that
extend to a distance close to the Roche lobe radius in this system. Evidence
for overflow stream of material falling onto the magnetosphere was observed,
confirming the result of Belle et al. (2005) that disc overflow in EX Hya is
present during quiescence as well as outburst. It appears that the hbeta and
hgamma spin radial velocities originated from the rotation of the funnel at the
outer disc edge, while those of halpha were produced due to the flow of
material along the field lines far from the white dwarf (narrow component) and
close to the white dwarf (broad-base component), in agreement with the
accretion curtain model.
",astro-ph,Nceba Mhlahlo; David H. Buckley; Vikram S. Dhillon; Steven B. Potter; Brian Warner and Patric A. Woudt,velocities; accretion; material; km; spin,2
704.0018,In quest of a generalized Callias index theorem,"  We give a prescription for how to compute the Callias index, using as
regulator an exponential function. We find agreement with old results in all
odd dimensions. We show that the problem of computing the dimension of the
moduli space of self-dual strings can be formulated as an index problem in
even-dimensional (loop-)space. We think that the regulator used in this Letter
can be applied to this index problem.
",hep-th,Andreas Gustavsson,index; problem; space; moduli; exponential,5
704.0019,"Approximation for extinction probability of the contact process based on
  the Gr\""obner basis","  In this note we give a new method for getting a series of approximations for
the extinction probability of the one-dimensional contact process by using the
Gr\""obner basis.
",math.PR; math.AG,Norio Konno,basis; series; probability; process; method,0
704.002,Measurement of the Hadronic Form Factor in D0 --> K- e+ nue Decays,"  The shape of the hadronic form factor f+(q2) in the decay D0 --> K- e+ nue
has been measured in a model independent analysis and compared with theoretical
calculations. We use 75 fb(-1) of data recorded by the BABAR detector at the
PEPII electron-positron collider. The corresponding decay branching fraction,
relative to the decay D0 --> K- pi+, has also been measured to be RD = BR(D0
--> K- e+ nue)/BR(D0 --> K- pi+) = 0.927 +/- 0.007 +/- 0.012. From these
results, and using the present world average value for BR(D0 --> K- pi+), the
normalization of the form factor at q2=0 is determined to be f+(0)=0.727 +/-
0.007 +/- 0.005 +/- 0.007 where the uncertainties are statistical, systematic,
and from external inputs, respectively.
",hep-ex,The BABAR Collaboration; B. Aubert; et al,pi; decay; factor; measured; form,6
704.0021,"Molecular Synchronization Waves in Arrays of Allosterically Regulated
  Enzymes","  Spatiotemporal pattern formation in a product-activated enzymic reaction at
high enzyme concentrations is investigated. Stochastic simulations show that
catalytic turnover cycles of individual enzymes can become coherent and that
complex wave patterns of molecular synchronization can develop. The analysis
based on the mean-field approximation indicates that the observed patterns
result from the presence of Hopf and wave bifurcations in the considered
system.
",nlin.PS; physics.chem-ph; q-bio.MN,Vanessa Casagrande; Yuichi Togashi; Alexander S. Mikhailov,patterns; wave; pattern; reaction; individual,8
704.0022,Stochastic Lie group integrators,"  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group action that generates transport
along the manifold, we pull back the stochastic flow on the manifold to the Lie
group via the action, and subsequently pull back the flow to the corresponding
Lie algebra via the exponential map. We construct an approximation to the
stochastic flow in the Lie algebra via closed operations and then push back to
the Lie group and then to the manifold, thus ensuring our approximation lies in
the manifold. We call such schemes stochastic Munthe-Kaas methods after their
deterministic counterparts. We also present stochastic Lie group integration
schemes based on Castell--Gaines methods. These involve using an underlying
ordinary differential integrator to approximate the flow generated by a
truncated stochastic exponential Lie series. They become stochastic Lie group
integrator schemes if we use Munthe-Kaas methods as the underlying ordinary
differential integrator. Further, we show that some Castell--Gaines methods are
uniformly more accurate than the corresponding stochastic Taylor schemes.
Lastly we demonstrate our methods by simulating the dynamics of a free rigid
body such as a satellite and an autonomous underwater vehicle both perturbed by
two independent multiplicative stochastic noise processes.
",math.NA,Simon J.A. Malham and Anke Wiese,stochastic; lie; manifold; group; methods,4
704.0023,ALMA as the ideal probe of the solar chromosphere,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
",astro-ph,M. A. Loukitcheva; S. K. Solanki and S. White,dynamic; solar; resolution; observations; oscillations,7
704.0024,"Formation of quasi-solitons in transverse confined ferromagnetic film
  media","  The formation of quasi-2D spin-wave waveforms in longitudinally magnetized
stripes of ferrimagnetic film was observed by using time- and space-resolved
Brillouin light scattering technique. In the linear regime it was found that
the confinement decreases the amplitude of dynamic magnetization near the
lateral stripe edges. Thus, the so-called effective dipolar pinning of dynamic
magnetization takes place at the edges.
  In the nonlinear regime a new stable spin wave packet propagating along a
waveguide structure, for which both transversal instability and interaction
with the side walls of the waveguide are important was observed. The
experiments and a numerical simulation of the pulse evolution show that the
shape of the formed waveforms and their behavior are strongly influenced by the
confinement.
",nlin.PS,A.A. Serga; M. Kostylev; and B. Hillebrands,dynamic; regime; wave; spin; observed,2
704.0025,"Spectroscopic Properties of Polarons in Strongly Correlated Systems by
  Exact Diagrammatic Monte Carlo Method","  We present recent advances in understanding of the ground and excited states
of the electron-phonon coupled systems obtained by novel methods of
Diagrammatic Monte Carlo and Stochastic Optimization, which enable the
approximation-free calculation of Matsubara Green function in imaginary times
and perform unbiased analytic continuation to real frequencies. We present
exact numeric results on the ground state properties, Lehmann spectral function
and optical conductivity of different strongly correlated systems: Frohlich
polaron, Rashba-Pekar exciton-polaron, pseudo Jahn-Teller polaron, exciton, and
interacting with phonons hole in the t-J model.
",cond-mat.str-el; cond-mat.stat-mech,"A. S. Mishchenko (1 and 2) and N. Nagaosa (1 and 3) ((1) CREST; Japan
  Science and Technology Agency; (2) Russian Research Centre ``Kurchatov
  Institute''; (3) The University of Tokyo)",ground; systems; function; present; correlated,2
704.0026,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill
  Infinite-Dimensional Skies","  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
",math.RA,Robert P. C. de Marrais,power; complexity; sky; integer; approaches,0
704.0027,Filling-Factor-Dependent Magnetophonon Resonance in Graphene,"  We describe a peculiar fine structure acquired by the in-plane optical phonon
at the Gamma-point in graphene when it is brought into resonance with one of
the inter-Landau-level transitions in this material. The effect is most
pronounced when this lattice mode (associated with the G-band in graphene Raman
spectrum) is in resonance with inter-Landau-level transitions 0 -> (+,1) and
(-,1) -> 0, at a magnetic field B_0 ~ 30 T. It can be used to measure the
strength of the electron-phonon coupling directly, and its filling-factor
dependence can be used experimentally to detect circularly polarized lattice
modes.
",cond-mat.mes-hall,M. O. Goerbig; J.-N. Fuchs; K. Kechedzhi; Vladimir I. Fal'ko,graphene; transitions; resonance; lattice; level,2
704.0028,"Pfaffians, hafnians and products of real linear functionals","  We prove pfaffian and hafnian versions of Lieb's inequalities on determinants
and permanents of positive semi-definite matrices. We use the hafnian
inequality to improve the lower bound of R\'ev\'esz and Sarantopoulos on the
norm of a product of linear functionals on a real Euclidean space (this subject
is sometimes called the `real linear polarization constant' problem).
",math.CA; math.PR,P\'eter E. Frenkel,real; linear; matrices; semi; polarization,4
704.0029,"Understanding the Flavor Symmetry Breaking and Nucleon Flavor-Spin
  Structure within Chiral Quark Model","  In $\XQM$, a quark can emit Goldstone bosons. The flavor symmetry breaking in
the Goldstone boson emission process is used to intepret the nucleon
flavor-spin structure. In this paper, we study the inner structure of
constituent quarks implied in $\XQM$ caused by the Goldstone boson emission
process in nucleon. From a simplified model Hamiltonian derived from $\XQM$,
the intrinsic wave functions of constituent quarks are determined. Then the
obtained transition probabilities of the emission of Goldstone boson from a
quark can give a reasonable interpretation to the flavor symmetry breaking in
nucleon flavor-spin structure.
",hep-ph,Zhan Shu; Xiao-Lin Chen and Wei-Zhen Deng,nucleon; boson; emission; breaking; structure,2
704.003,Tuning correlation effects with electron-phonon interactions,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
",cond-mat.str-el,J.P.Hague and N.d'Ambrumenil,band; spectral; function; regime; electron,2
704.0031,"Crystal channeling of LHC forward protons with preserved distribution in
  phase space","  We show that crystal can trap a broad (x, x', y, y', E) distribution of
particles and channel it preserved with a high precision. This sampled-and-hold
distribution can be steered by a bent crystal for analysis downstream. In
simulations for the 7 TeV Large Hadron Collider, a crystal adapted to the
accelerator lattice traps 90% of diffractively scattered protons emerging from
the interaction point with a divergence 100 times the critical angle. We set
the criterion for crystal adaptation improving efficiency ~100-fold. Proton
angles are preserved in crystal transmission with accuracy down to 0.1
microrad. This makes feasible a crystal application for measuring very forward
protons at the LHC.
",hep-ph,V. M. Biryukov (Serpukhov; IHEP),crystal; 100; distribution; proton; transmission,2
704.0032,Probing non-standard neutrino interactions with supernova neutrinos,"  We analyze the possibility of probing non-standard neutrino interactions
(NSI, for short) through the detection of neutrinos produced in a future
galactic supernova (SN).We consider the effect of NSI on the neutrino
propagation through the SN envelope within a three-neutrino framework, paying
special attention to the inclusion of NSI-induced resonant conversions, which
may take place in the most deleptonised inner layers. We study the possibility
of detecting NSI effects in a Megaton water Cherenkov detector, either through
modulation effects in the $\bar\nu_e$ spectrum due to (i) the passage of shock
waves through the SN envelope, (ii) the time dependence of the electron
fraction and (iii) the Earth matter effects; or, finally, through the possible
detectability of the neutronization $\nu_e$ burst. We find that the $\bar\nu_e$
spectrum can exhibit dramatic features due to the internal NSI-induced resonant
conversion. This occurs for non-universal NSI strengths of a few %, and for
very small flavor-changing NSI above a few$\times 10^{-5}$.
",hep-ph,A. Esteban-Pretel; R. Tom\`as and J. W. F. Valle,sn; neutrino; effects; resonant; bar,6
704.0033,"Convergence of the discrete dipole approximation. I. Theoretical
  analysis","  We performed a rigorous theoretical convergence analysis of the discrete
dipole approximation (DDA). We prove that errors in any measured quantity are
bounded by a sum of a linear and quadratic term in the size of a dipole d, when
the latter is in the range of DDA applicability. Moreover, the linear term is
significantly smaller for cubically than for non-cubically shaped scatterers.
Therefore, for small d errors for cubically shaped particles are much smaller
than for non-cubically shaped. The relative importance of the linear term
decreases with increasing size, hence convergence of DDA for large enough
scatterers is quadratic in the common range of d. Extensive numerical
simulations were carried out for a wide range of d. Finally we discuss a number
of new developments in DDA and their consequences for convergence.
",physics.optics; physics.comp-ph,Maxim A. Yurkin; Valeri P. Maltsev; Alfons G. Hoekstra,term; linear; dipole; range; smaller,0
704.0034,Origin of adaptive mutants: a quantum measurement?,"  This is a supplement to the paper arXiv:q-bio/0701050, containing the text of
correspondence sent to Nature in 1990.
",q-bio.PE; q-bio.CB; quant-ph,Vasily Ogryzko,nature; paper; zero; exponential; explicitly,0
704.0035,"Convergence of the discrete dipole approximation. II. An extrapolation
  technique to increase the accuracy","  We propose an extrapolation technique that allows accuracy improvement of the
discrete dipole approximation computations. The performance of this technique
was studied empirically based on extensive simulations for 5 test cases using
many different discretizations. The quality of the extrapolation improves with
refining discretization reaching extraordinary performance especially for
cubically shaped particles. A two order of magnitude decrease of error was
demonstrated. We also propose estimates of the extrapolation error, which were
proven to be reliable. Finally we propose a simple method to directly separate
shape and discretization errors and illustrated this for one test case.
",physics.optics; physics.comp-ph,Maxim A. Yurkin; Valeri P. Maltsev; Alfons G. Hoekstra,propose; error; performance; test; technique,0
704.0036,A remark on the number of steady states in a multiple futile cycle,"  The multisite phosphorylation-dephosphorylation cycle is a motif repeatedly
used in cell signaling. This motif itself can generate a variety of dynamic
behaviors like bistability and ultrasensitivity without direct positive
feedbacks. In this paper, we study the number of positive steady states of a
general multisite phosphorylation-dephosphorylation cycle, and how the number
of positive steady states varies by changing the biological parameters. We show
analytically that (1) for some parameter ranges, there are at least n+1 (if n
is even) or n (if n is odd) steady states; (2) there never are more than 2n-1
steady states (in particular, this implies that for n=2, including single
levels of MAPK cascades, there are at most three steady states); (3) for
parameters near the standard Michaelis-Menten quasi-steady state conditions,
there are at most n+1 steady states; and (4) for parameters far from the
standard Michaelis-Menten quasi-steady state conditions, there is at most one
steady state.
",q-bio.QM; q-bio.MN,Liming Wang and Eduardo D. Sontag,states; positive; parameters; state; quasi,3
704.0037,"The discrete dipole approximation for simulation of light scattering by
  particles much larger than the wavelength","  In this manuscript we investigate the capabilities of the Discrete Dipole
Approximation (DDA) to simulate scattering from particles that are much larger
than the wavelength of the incident light, and describe an optimized publicly
available DDA computer program that processes the large number of dipoles
required for such simulations. Numerical simulations of light scattering by
spheres with size parameters x up to 160 and 40 for refractive index m=1.05 and
2 respectively are presented and compared with exact results of the Mie theory.
Errors of both integral and angle-resolved scattering quantities generally
increase with m and show no systematic dependence on x. Computational times
increase steeply with both x and m, reaching values of more than 2 weeks on a
cluster of 64 processors. The main distinctive feature of the computer program
is the ability to parallelize a single DDA simulation over a cluster of
computers, which allows it to simulate light scattering by very large
particles, like the ones that are considered in this manuscript. Current
limitations and possible ways for improvement are discussed.
",physics.optics; physics.comp-ph,Maxim A. Yurkin; Valeri P. Maltsev; Alfons G. Hoekstra,scattering; light; increase; cluster; particles,6
704.0038,The discrete dipole approximation: an overview and recent developments,"  We present a review of the discrete dipole approximation (DDA), which is a
general method to simulate light scattering by arbitrarily shaped particles. We
put the method in historical context and discuss recent developments, taking
the viewpoint of a general framework based on the integral equations for the
electric field. We review both the theory of the DDA and its numerical aspects,
the latter being of critical importance for any practical application of the
method. Finally, the position of the DDA among other methods of light
scattering simulation is shown and possible future developments are discussed.
",physics.optics; physics.comp-ph,Maxim A. Yurkin; Alfons G. Hoekstra,method; review; scattering; light; general,5
704.0039,Scalar radius of the pion and zeros in the form factor,"  The quadratic pion scalar radius, \la r^2\ra^\pi_s, plays an important role
for present precise determinations of \pi\pi scattering. Recently, Yndur\'ain,
using an Omn\`es representation of the null isospin(I) non-strange pion scalar
form factor, obtains \la r^2\ra^\pi_s=0.75\pm 0.07 fm^2. This value is larger
than the one calculated by solving the corresponding Muskhelishvili-Omn\`es
equations, \la r^2\ra^\pi_s=0.61\pm 0.04 fm^2. A large discrepancy between both
values, given the precision, then results. We reanalyze Yndur\'ain's method and
show that by imposing continuity of the resulting pion scalar form factor under
tiny changes in the input \pi\pi phase shifts, a zero in the form factor for
some S-wave I=0 T-matrices is then required. Once this is accounted for, the
resulting value is \la r^2\ra_s^\pi=0.65\pm 0.05 fm^2. The main source of error
in our determination is present experimental uncertainties in low energy S-wave
I=0 \pi\pi phase shifts. Another important contribution to our error is the not
yet settled asymptotic behaviour of the phase of the scalar form factor from
QCD.
",hep-ph; hep-lat; nucl-th,Jose A. Oller and Luis Roca,pi; scalar; factor; pm; form,6
704.004,"Multilinear function series in conditionally free probability with
  amalgamation","  As in the cases of freeness and monotonic independence, the notion of
conditional freeness is meaningful when complex-valued states are replaced by
positive conditional expectations. In this framework, the paper presents
several positivity results, a version of the central limit theorem and an
analogue of the conditionally free R-transform constructed by means of
multilinear function series.
",math.OA; math.FA,Mihai Popa,notion; constructed; version; series; means,4
